"route_id","route_desc","route_long_name","stop_name","stop_id","stop_lat","stop_lon"
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Ida St","4491",42.456024,-70.973197
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Ida St","4491",42.456024,-70.973197
"455","Local Bus","Salem Depot - Wonderland Station","Western Ave @ Ida St","4491",42.456024,-70.973197
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Western Ave @ Ida St","4491",42.456024,-70.973197
"442","Local Bus","Marblehead - Wonderland Station via Humphrey Street","Western Ave @ Ida St","4491",42.456024,-70.973197
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ MBTA Lynn Garage","4492",42.45538,-70.974007
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ MBTA Lynn Garage","4492",42.45538,-70.974007
"455","Local Bus","Salem Depot - Wonderland Station","Western Ave @ MBTA Lynn Garage","4492",42.45538,-70.974007
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Western Ave @ MBTA Lynn Garage","4492",42.45538,-70.974007
"117","Key Bus","Wonderland Station - Maverick Station via Beach Street","Western Ave @ MBTA Lynn Garage","4492",42.45538,-70.974007
"442","Local Bus","Marblehead - Wonderland Station via Humphrey Street","Western Ave @ MBTA Lynn Garage","4492",42.45538,-70.974007
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Cooper St","4494",42.453742,-70.975908
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Cooper St","4494",42.453742,-70.975908
"455","Local Bus","Salem Depot - Wonderland Station","Western Ave @ Cooper St","4494",42.453742,-70.975908
"117","Key Bus","Wonderland Station - Maverick Station via Beach Street","Western Ave @ Cooper St","4494",42.453742,-70.975908
